county,state_code,state,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
Franklin County,ID,Idaho,7.88,36.0,36.0,8,10,10,2330.0,44.800000000000004,0.0,Low
Franklin County,IN,Indiana,8.15,38.0,33.0,9,6,3,4373.0,37.7,1.0,Medium
Franklin County,KS,Kansas,9.36,37.0,11.0,6,5,9,6939.0,51.1,3.0,Critical
Franklin County,KY,Kentucky,8.58,39.0,22.0,1,3,7,13722.0,61.3,1.0,Medium
Franklin County,MA,Massachusetts,8.77,40.0,21.0,1,10,8,10782.0,68.10000000000001,3.0,Critical
Franklin County,ME,Maine,10.5,45.0,4.0,3,2,6,5718.0,61.8,2.0,High
Franklin County,MO,Missouri,7.75,39.0,39.0,10,10,10,22675.0,54.2,4.0,Unknown
Franklin County,MS,Mississippi,8.99,38.0,15.0,4,7,5,1924.0,48.0,1.0,Medium
Franklin County,NC,North Carolina,8.07,39.0,34.0,10,4,8,20348.0,53.900000000000006,2.0,High
Franklin County,OH,Ohio,8.96,39.0,16.0,1,4,9,289715.0,64.3,2.0,High
Franklin County,PA,Pennsylvania,8.46,41.0,23.0,9,1,7,40344.0,44.2,1.0,Medium
Franklin County,TN,Tennessee,5.74,39.0,49.0,7,9,7,12854.0,41.199999999999996,1.0,Medium
Franklin County,TX,Texas,8.19,35.0,30.0,10,2,4,2196.0,37.1,3.0,Critical
Franklin County,VT,Vermont,10.75,43.0,3.0,9,4,2,9718.0,72.5,3.0,Critical
Frederick County,MD,Maryland,9.32,39.0,12.0,3,4,2,45780.0,78.4,2.0,High
Frederick County,VA,Virginia,7.86,38.0,37.0,4,8,1,20580.0,58.599999999999994,1.0,Medium
Fredericksburg,VA,Virginia,7.86,38.0,37.0,5,8,2,,,,
Freeborn County,MN,Minnesota,9.99,38.0,6.0,8,5,10,9101.0,57.599999999999994,2.0,High
Freestone County,TX,Texas,8.19,35.0,30.0,1,5,10,3866.0,38.9,1.0,Medium
Fresno County,CA,California,9.48,37.0,10.0,10,7,3,254590.0,61.0,2.0,High
Frio County,TX,Texas,8.19,35.0,30.0,3,10,6,5541.0,67.7,2.0,High
Fulton County,AR,Arkansas,8.8,38.0,20.0,8,1,3,2690.0,32.5,2.0,High
Fulton County,GA,Georgia,7.91,37.0,35.0,4,3,4,218237.0,56.3,2.0,High
Fulton County,NY,New York,12.79,39.0,1.0,10,8,3,12844.0,54.300000000000004,3.0,Critical
Fulton County,OH,Ohio,8.96,39.0,16.0,10,9,5,10321.0,52.400000000000006,0.0,Low
Fulton County,PA,Pennsylvania,8.46,41.0,23.0,9,3,5,4125.0,30.099999999999998,1.0,Medium
Gadsden County,FL,Florida,6.97,42.0,45.0,2,6,7,13414.0,57.99999999999999,1.0,Medium
Gage County,NE,Nebraska,9.01,37.0,14.0,5,5,1,3589.0,45.0,0.0,Low
Gallatin County,KY,Kentucky,8.58,39.0,22.0,4,6,4,2210.0,41.199999999999996,1.0,Medium
Gallia County,OH,Ohio,8.96,39.0,16.0,6,7,8,7488.0,46.7,2.0,High
Galveston County,TX,Texas,8.19,35.0,30.0,4,10,4,95808.0,60.099999999999994,1.0,Medium
Garfield County,OK,Oklahoma,7.13,37.0,44.0,5,7,5,15178.0,50.2,1.0,Medium
Garfield County,UT,Utah,8.29,31.0,27.0,7,3,8,924.0,57.199999999999996,1.0,Medium
Garland County,AR,Arkansas,8.8,38.0,20.0,3,8,7,23284.0,45.4,1.0,Medium
Garrard County,KY,Kentucky,8.58,39.0,22.0,1,2,8,4799.0,48.199999999999996,1.0,Medium
Garrett County,MD,Maryland,9.32,39.0,12.0,5,3,8,5722.0,50.9,1.0,Medium
Garvin County,OK,Oklahoma,7.13,37.0,44.0,5,4,8,7030.0,46.300000000000004,2.0,High
Gasconade County,MO,Missouri,7.75,39.0,39.0,1,7,8,3334.0,50.6,4.0,Unknown
Gaston County,NC,North Carolina,8.07,39.0,34.0,9,6,10,65114.0,50.0,1.0,Medium
Geauga County,OH,Ohio,8.96,39.0,16.0,10,2,10,16054.0,61.199999999999996,1.0,Medium
Gem County,ID,Idaho,7.88,36.0,36.0,4,6,10,3640.0,39.900000000000006,1.0,Medium
Genesee County,MI,Michigan,8.34,40.0,24.0,9,1,10,101373.0,50.6,1.0,Medium
Genesee County,NY,New York,12.79,39.0,1.0,6,10,1,13752.0,59.9,2.0,High
George County,MS,Mississippi,8.99,38.0,15.0,10,6,8,7132.0,40.300000000000004,2.0,High
Georgetown County,SC,South Carolina,7.45,39.0,40.0,3,6,1,15839.0,54.300000000000004,1.0,Medium
Gibson County,TN,Tennessee,5.74,39.0,49.0,10,6,4,17398.0,45.5,1.0,Medium
Gila County,AZ,Arizona,8.19,38.0,30.0,4,3,3,17176.0,59.199999999999996,2.0,High
Giles County,TN,Tennessee,5.74,39.0,49.0,1,7,8,9407.0,39.300000000000004,2.0,High
Gillespie County,TX,Texas,8.19,35.0,30.0,2,6,7,5281.0,53.800000000000004,1.0,Medium
Gilliam County,OR,Oregon,8.29,39.0,27.0,5,3,8,283.0,45.0,0.0,Low
Gilmer County,GA,Georgia,7.91,37.0,35.0,7,4,3,6931.0,40.8,1.0,Medium
Gilpin County,CO,Colorado,8.31,37.0,26.0,5,9,6,952.0,58.099999999999994,2.0,High
Glades County,FL,Florida,6.97,42.0,45.0,6,6,7,1985.0,33.800000000000004,0.0,Low
Gladwin County,MI,Michigan,8.34,40.0,24.0,3,9,3,5560.0,47.8,0.0,Low
Glascock County,GA,Georgia,7.91,37.0,35.0,8,4,5,609.0,33.1,1.0,Medium
Glenn County,CA,California,9.48,37.0,10.0,2,8,8,6569.0,55.1,1.0,Medium
Gloucester County,NJ,New Jersey,9.98,40.0,7.0,5,4,5,69954.0,62.2,2.0,High
Gloucester County,VA,Virginia,7.86,38.0,37.0,3,3,7,7312.0,65.9,1.0,Medium
Glynn County,GA,Georgia,7.91,37.0,35.0,2,7,1,23181.0,51.300000000000004,0.0,Low
Goliad County,TX,Texas,8.19,35.0,30.0,7,5,3,1200.0,42.699999999999996,2.0,High
Gonzales County,TX,Texas,8.19,35.0,30.0,3,7,10,4487.0,49.3,0.0,Low
Goochland County,VA,Virginia,7.86,38.0,37.0,3,8,8,4018.0,76.8,2.0,High
Goodhue County,MN,Minnesota,9.99,38.0,6.0,5,1,7,13152.0,66.5,2.0,High
Gooding County,ID,Idaho,7.88,36.0,36.0,6,1,5,3287.0,44.2,2.0,High
Gordon County,GA,Georgia,7.91,37.0,35.0,9,9,7,16491.0,37.6,2.0,High
Grady County,GA,Georgia,7.91,37.0,35.0,2,5,3,5782.0,44.0,1.0,Medium
Grady County,OK,Oklahoma,7.13,37.0,44.0,4,8,6,13713.0,37.9,1.0,Medium
Grafton County,NH,New Hampshire,6.84,43.0,46.0,6,4,6,17947.0,,3.0,Critical
Graham County,NC,North Carolina,8.07,39.0,34.0,1,5,7,2264.0,46.5,0.0,Low
Grainger County,TN,Tennessee,5.74,39.0,49.0,6,3,9,6779.0,49.1,2.0,High
Grand County,UT,Utah,8.29,31.0,27.0,1,2,1,2284.0,67.7,2.0,High
Grand Isle County,VT,Vermont,10.75,43.0,3.0,6,6,2,1053.0,84.89999999999999,3.0,Critical
Grant County,AR,Arkansas,8.8,38.0,20.0,1,5,4,4462.0,45.800000000000004,1.0,Medium
Grant County,KY,Kentucky,8.58,39.0,22.0,4,9,9,7774.0,48.9,1.0,Medium
Grant County,MN,Minnesota,9.99,38.0,6.0,10,4,4,1471.0,55.00000000000001,2.0,High
Grant County,OK,Oklahoma,7.13,37.0,44.0,10,9,3,1031.0,42.6,0.0,Low
Grant County,OR,Oregon,8.29,39.0,27.0,1,5,8,1692.0,45.300000000000004,3.0,Critical
Grant County,WA,Washington,8.34,38.0,24.0,3,9,7,27064.0,57.199999999999996,0.0,Low
Grant County,WI,Wisconsin,8.89,40.0,17.0,5,7,1,12699.0,55.00000000000001,1.0,Medium
Grant County,WV,West Virginia,8.84,43.0,18.0,6,1,8,3771.0,44.9,1.0,Medium
Granville County,NC,North Carolina,8.07,39.0,34.0,1,7,3,14265.0,62.3,1.0,Medium
Gratiot County,MI,Michigan,8.34,40.0,24.0,6,3,9,13683.0,46.1,1.0,Medium
Grays Harbor County,WA,Washington,8.34,38.0,24.0,3,3,5,16204.0,61.0,1.0,Medium
Grayson County,TX,Texas,8.19,35.0,30.0,2,7,5,27100.0,45.0,0.0,Low
Green County,WI,Wisconsin,8.89,40.0,17.0,7,9,8,9214.0,64.1,2.0,High
Green Lake County,WI,Wisconsin,8.89,40.0,17.0,4,6,4,5115.0,55.900000000000006,2.0,High
Greene County,AR,Arkansas,8.8,38.0,20.0,8,7,2,15879.0,43.1,1.0,Medium
Greene County,GA,Georgia,7.91,37.0,35.0,4,9,10,3931.0,54.400000000000006,1.0,Medium
Greene County,IA,Iowa,9.26,38.0,13.0,5,3,5,1741.0,58.199999999999996,2.0,High
Greene County,MS,Mississippi,8.99,38.0,15.0,6,9,4,3187.0,37.2,1.0,Medium
Greene County,OH,Ohio,8.96,39.0,16.0,7,5,4,37530.0,62.9,1.0,Medium
Greene County,PA,Pennsylvania,8.46,41.0,23.0,3,9,10,8458.0,45.1,1.0,Medium
Greene County,TN,Tennessee,5.74,39.0,49.0,3,8,5,22058.0,46.300000000000004,0.0,Low
Greenville County,SC,South Carolina,7.45,39.0,40.0,10,10,5,172282.0,55.2,1.0,Medium
Greenwood County,SC,South Carolina,7.45,39.0,40.0,1,7,6,22541.0,48.0,1.0,Medium
Greer County,OK,Oklahoma,7.13,37.0,44.0,5,10,5,1294.0,36.8,1.0,Medium
Gregg County,TX,Texas,8.19,35.0,30.0,6,9,6,23174.0,45.1,1.0,Medium
Grenada County,MS,Mississippi,8.99,38.0,15.0,9,6,5,5515.0,52.5,1.0,Medium
Grimes County,TX,Texas,8.19,35.0,30.0,10,10,5,8472.0,53.1,1.0,Medium
Grundy County,IL,Illinois,9.52,38.0,9.0,3,6,4,12680.0,57.8,2.0,High
Grundy County,TN,Tennessee,5.74,39.0,49.0,4,2,7,3986.0,30.599999999999998,0.0,Low
Guadalupe County,NM,New Mexico,8.19,38.0,30.0,1,3,2,1478.0,61.5,1.0,Medium
Guadalupe County,TX,Texas,8.19,35.0,30.0,10,6,3,36503.0,55.1,1.0,Medium
Guernsey County,OH,Ohio,8.96,39.0,16.0,9,2,5,10469.0,44.4,1.0,Medium
Guilford County,NC,North Carolina,8.07,39.0,34.0,5,3,8,117251.0,61.3,2.0,High
Guthrie County,IA,Iowa,9.26,38.0,13.0,7,4,10,2350.0,58.199999999999996,1.0,Medium
Gwinnett County,GA,Georgia,7.91,37.0,35.0,7,9,9,208133.0,55.1,2.0,High
Habersham County,GA,Georgia,7.91,37.0,35.0,6,1,9,10168.0,40.1,1.0,Medium
Hall County,GA,Georgia,7.91,37.0,35.0,9,1,2,54081.0,45.1,2.0,High
Hamblen County,TN,Tennessee,5.74,39.0,49.0,2,4,3,19704.0,42.8,1.0,Medium
Hamilton County,IN,Indiana,8.15,38.0,33.0,9,4,10,81880.0,71.2,1.0,Medium
Hamilton County,OH,Ohio,8.96,39.0,16.0,10,1,10,188020.0,62.8,2.0,High
Hamilton County,TX,Texas,8.19,35.0,30.0,10,1,2,1960.0,54.400000000000006,0.0,Low
Hampden County,MA,Massachusetts,8.77,40.0,21.0,5,7,4,133782.0,65.60000000000001,2.0,High
Hampshire County,MA,Massachusetts,8.77,40.0,21.0,10,7,2,28332.0,66.60000000000001,3.0,Critical
Hampshire County,WV,West Virginia,8.84,43.0,18.0,4,9,6,5830.0,46.1,2.0,High
Hampton,VA,Virginia,7.86,38.0,37.0,1,6,4,,,,
Hampton County,SC,South Carolina,7.45,39.0,40.0,5,10,3,5009.0,63.9,2.0,High
Hancock County,GA,Georgia,7.91,37.0,35.0,6,3,1,1577.0,48.199999999999996,1.0,Medium
Hancock County,IN,Indiana,8.15,38.0,33.0,4,1,1,20665.0,67.60000000000001,1.0,Medium
Hancock County,ME,Maine,10.5,45.0,4.0,5,10,5,7445.0,73.9,2.0,High
Hancock County,MS,Mississippi,8.99,38.0,15.0,6,3,2,12220.0,44.3,1.0,Medium
Hancock County,OH,Ohio,8.96,39.0,16.0,7,3,6,17109.0,50.6,1.0,Medium
Hancock County,TN,Tennessee,5.74,39.0,49.0,7,1,4,2010.0,32.6,1.0,Medium
Hanover County,VA,Virginia,7.86,38.0,37.0,1,7,8,21791.0,72.0,2.0,High
Haralson County,GA,Georgia,7.91,37.0,35.0,3,3,3,5433.0,33.4,1.0,Medium
Hardee County,FL,Florida,6.97,42.0,45.0,2,6,1,8656.0,42.8,1.0,Medium
Hardeman County,TN,Tennessee,5.74,39.0,49.0,3,9,4,7589.0,46.7,1.0,Medium
Hardeman County,TX,Texas,8.19,35.0,30.0,9,1,6,555.0,46.300000000000004,0.0,Low
Hardin County,OH,Ohio,8.96,39.0,16.0,2,4,8,7079.0,38.5,2.0,High
Hardin County,TN,Tennessee,5.74,39.0,49.0,2,4,5,8750.0,40.699999999999996,1.0,Medium
Hardin County,TX,Texas,8.19,35.0,30.0,2,1,5,12026.0,37.8,0.0,Low
Hardy County,WV,West Virginia,8.84,43.0,18.0,2,8,8,4178.0,55.400000000000006,0.0,Low
Harford County,MD,Maryland,9.32,39.0,12.0,4,6,4,38358.0,69.69999999999999,1.0,Medium
Harlan County,KY,Kentucky,8.58,39.0,22.0,9,10,5,9209.0,46.300000000000004,1.0,Medium
Harnett County,NC,North Carolina,8.07,39.0,34.0,8,8,9,33033.0,43.0,2.0,High
Harney County,OR,Oregon,8.29,39.0,27.0,10,2,6,1603.0,46.0,1.0,Medium
Harper County,OK,Oklahoma,7.13,37.0,44.0,7,4,2,705.0,45.1,0.0,Low
Harris County,TX,Texas,8.19,35.0,30.0,1,8,5,1001843.0,63.5,1.0,Medium
Harrison County,IA,Iowa,9.26,38.0,13.0,9,3,10,3430.0,51.9,1.0,Medium
Harrison County,IN,Indiana,8.15,38.0,33.0,5,10,5,10811.0,50.6,1.0,Medium
Harrison County,KY,Kentucky,8.58,39.0,22.0,10,8,4,6304.0,50.1,2.0,High
Harrison County,MS,Mississippi,8.99,38.0,15.0,9,2,8,53623.0,55.1,1.0,Medium
Harrison County,OH,Ohio,8.96,39.0,16.0,1,2,10,3232.0,42.9,2.0,High
Harrison County,TX,Texas,8.19,35.0,30.0,2,10,2,13320.0,41.3,1.0,Medium
Hart County,GA,Georgia,7.91,37.0,35.0,10,6,4,4880.0,38.2,3.0,Critical
Hartford County,CT,Connecticut,10.44,41.0,5.0,4,9,3,178315.0,75.7,2.0,High
Haskell County,OK,Oklahoma,7.13,37.0,44.0,2,7,1,2776.0,41.199999999999996,1.0,Medium
Haskell County,TX,Texas,8.19,35.0,30.0,2,5,4,896.0,38.800000000000004,1.0,Medium
Hawaii County,HI,Hawaii,12.19,39.0,2.0,2,7,6,26501.0,67.30000000000001,2.0,High
Hawkins County,TN,Tennessee,5.74,39.0,49.0,6,4,5,16651.0,44.4,1.0,Medium
Hays County,TX,Texas,8.19,35.0,30.0,3,1,4,60164.0,62.5,1.0,Medium
Haywood County,NC,North Carolina,8.07,39.0,34.0,8,9,2,12938.0,57.199999999999996,1.0,Medium
Haywood County,TN,Tennessee,5.74,39.0,49.0,1,9,4,6168.0,52.300000000000004,2.0,High
Heard County,GA,Georgia,7.91,37.0,35.0,2,6,5,2171.0,28.199999999999996,1.0,Medium
Hempstead County,AR,Arkansas,8.8,38.0,20.0,3,5,8,4555.0,40.1,0.0,Low
Henderson County,NC,North Carolina,8.07,39.0,34.0,2,10,10,24883.0,58.8,1.0,Medium
Henderson County,TN,Tennessee,5.74,39.0,49.0,9,10,6,9124.0,41.4,1.0,Medium
Henderson County,TX,Texas,8.19,35.0,30.0,1,8,6,15381.0,39.300000000000004,1.0,Medium
Hendricks County,IN,Indiana,8.15,38.0,33.0,9,5,7,40723.0,71.8,1.0,Medium
Hendry County,FL,Florida,6.97,42.0,45.0,9,5,6,11689.0,49.6,1.0,Medium
Hennepin County,MN,Minnesota,9.99,38.0,6.0,6,8,7,300081.0,74.0,2.0,High
Henrico County,VA,Virginia,7.86,38.0,37.0,10,8,10,64986.0,70.7,2.0,High
Henry County,GA,Georgia,7.91,37.0,35.0,1,2,7,57892.0,44.2,1.0,Medium
Henry County,OH,Ohio,8.96,39.0,16.0,1,8,8,6425.0,54.0,0.0,Low
Henry County,TN,Tennessee,5.74,39.0,49.0,9,7,5,8268.0,47.5,1.0,Medium
Herkimer County,NY,New York,12.79,39.0,1.0,4,5,5,14098.0,59.099999999999994,3.0,Critical
Hernando County,FL,Florida,6.97,42.0,45.0,4,3,5,41948.0,54.800000000000004,1.0,Medium
Hickman County,TN,Tennessee,5.74,39.0,49.0,4,4,10,6826.0,42.4,1.0,Medium
Hidalgo County,TX,Texas,8.19,35.0,30.0,3,8,7,204245.0,73.3,2.0,High
Highland County,OH,Ohio,8.96,39.0,16.0,3,7,8,10598.0,37.9,0.0,Low
Hill County,TX,Texas,8.19,35.0,30.0,1,6,1,8922.0,41.099999999999994,1.0,Medium
Hillsborough County,FL,Florida,6.97,42.0,45.0,9,7,7,374771.0,62.6,0.0,Low
Hillsborough County,NH,New Hampshire,6.84,43.0,46.0,6,4,3,98006.0,,2.0,High
Hillsdale County,MI,Michigan,8.34,40.0,24.0,9,9,4,10335.0,38.6,1.0,Medium
Hinds County,MS,Mississippi,8.99,38.0,15.0,9,4,10,52230.0,57.9,1.0,Medium
Hocking County,OH,Ohio,8.96,39.0,16.0,6,1,8,6671.0,48.1,1.0,Medium
Holmes County,MS,Mississippi,8.99,38.0,15.0,7,5,7,4445.0,60.099999999999994,0.0,Low
Holmes County,OH,Ohio,8.96,39.0,16.0,1,10,8,5109.0,18.0,0.0,Low
Honolulu County,HI,Hawaii,12.19,39.0,2.0,1,9,5,168444.0,80.80000000000001,2.0,High
Hood County,TX,Texas,8.19,35.0,30.0,7,3,6,13394.0,50.4,1.0,Medium
Hood River County,OR,Oregon,8.29,39.0,27.0,8,9,7,3567.0,84.8,1.0,Medium
Hopewell,VA,Virginia,7.86,38.0,37.0,8,7,8,,,,
Hopkins County,TX,Texas,8.19,35.0,30.0,5,9,2,7212.0,39.4,2.0,High
Horry County,SC,South Carolina,7.45,39.0,40.0,7,5,10,96403.0,56.3,1.0,Medium
Hot Spring County,AR,Arkansas,8.8,38.0,20.0,9,7,7,11176.0,42.5,1.0,Medium
Houston County,GA,Georgia,7.91,37.0,35.0,6,8,4,39362.0,50.5,1.0,Medium
Houston County,MN,Minnesota,9.99,38.0,6.0,10,3,5,4546.0,59.099999999999994,1.0,Medium
Houston County,TN,Tennessee,5.74,39.0,49.0,1,1,3,2678.0,43.4,2.0,High
Houston County,TX,Texas,8.19,35.0,30.0,10,8,4,4175.0,42.3,2.0,High
Howard County,AR,Arkansas,8.8,38.0,20.0,7,3,1,3761.0,54.300000000000004,1.0,Medium
Howard County,MD,Maryland,9.32,39.0,12.0,2,2,7,43989.0,85.6,2.0,High
Hubbard County,MN,Minnesota,9.99,38.0,6.0,4,5,9,4940.0,47.3,2.0,High
Hudson County,NJ,New Jersey,9.98,40.0,7.0,7,8,2,172964.0,77.7,2.0,High
Hudspeth County,TX,Texas,8.19,35.0,30.0,2,9,10,989.0,74.7,3.0,Critical
Hughes County,OK,Oklahoma,7.13,37.0,44.0,10,10,2,2581.0,45.800000000000004,1.0,Medium
Humboldt County,NV,Nevada,8.23,38.0,29.0,5,6,9,2504.0,42.199999999999996,0.0,Low
Humphreys County,MS,Mississippi,8.99,38.0,15.0,7,9,7,2030.0,58.599999999999994,2.0,High
Humphreys County,TN,Tennessee,5.74,39.0,49.0,4,3,8,4840.0,41.4,0.0,Low
Hunt County,TX,Texas,8.19,35.0,30.0,6,2,7,15756.0,42.8,1.0,Medium
Hunterdon County,NJ,New Jersey,9.98,40.0,7.0,4,5,2,24841.0,70.8,2.0,High
Huron County,MI,Michigan,8.34,40.0,24.0,9,1,2,8010.0,54.0,1.0,Medium
Huron County,OH,Ohio,8.96,39.0,16.0,3,1,1,14494.0,47.699999999999996,1.0,Medium
Iberville Parish,LA,Louisiana,8.82,37.0,19.0,8,2,1,8983.0,56.10000000000001,0.0,Low
Idaho County,ID,Idaho,7.88,36.0,36.0,8,7,9,2987.0,30.7,1.0,Medium
Independence County,AR,Arkansas,8.8,38.0,20.0,7,2,8,10606.0,41.3,1.0,Medium
Indian River County,FL,Florida,6.97,42.0,45.0,9,6,3,32478.0,67.0,1.0,Medium
Indiana County,PA,Pennsylvania,8.46,41.0,23.0,5,2,1,17429.0,43.8,1.0,Medium
Ingham County,MI,Michigan,8.34,40.0,24.0,1,1,4,64167.0,57.099999999999994,2.0,High
Ionia County,MI,Michigan,8.34,40.0,24.0,8,9,6,19563.0,47.199999999999996,1.0,Medium
Iowa County,WI,Wisconsin,8.89,40.0,17.0,10,8,7,5256.0,68.8,1.0,Medium
Iredell County,NC,North Carolina,8.07,39.0,34.0,10,9,4,48099.0,52.900000000000006,1.0,Medium
Iron County,MO,Missouri,7.75,39.0,39.0,1,10,1,2197.0,38.9,4.0,Unknown
Iron County,UT,Utah,8.29,31.0,27.0,1,1,8,14679.0,45.9,2.0,High
Iron County,WI,Wisconsin,8.89,40.0,17.0,3,1,5,1467.0,66.5,1.0,Medium
Iroquois County,IL,Illinois,9.52,38.0,9.0,6,5,9,7192.0,51.2,1.0,Medium
Irwin County,GA,Georgia,7.91,37.0,35.0,8,5,3,1901.0,36.6,1.0,Medium
Isanti County,MN,Minnesota,9.99,38.0,6.0,8,2,4,10085.0,43.1,2.0,High
Island County,WA,Washington,8.34,38.0,24.0,1,9,3,10090.0,76.2,2.0,High
Isle of Wight County,VA,Virginia,7.86,38.0,37.0,1,2,9,7283.0,70.6,1.0,Medium
Issaquena County,MS,Mississippi,8.99,38.0,15.0,9,5,8,262.0,40.2,1.0,Medium
Itasca County,MN,Minnesota,9.99,38.0,6.0,8,8,4,11030.0,56.49999999999999,1.0,Medium
Itawamba County,MS,Mississippi,8.99,38.0,15.0,8,1,7,7416.0,34.699999999999996,2.0,High
Izard County,AR,Arkansas,8.8,38.0,20.0,5,4,2,3892.0,38.0,1.0,Medium
Jack County,TX,Texas,8.19,35.0,30.0,1,7,3,1508.0,41.199999999999996,1.0,Medium
Jackson County,AL,Alabama,7.45,39.0,40.0,1,2,1,15005.0,49.2,0.0,Low
Jackson County,AR,Arkansas,8.8,38.0,20.0,10,3,4,6107.0,38.9,2.0,High
Jackson County,CO,Colorado,8.31,37.0,26.0,10,10,5,164.0,45.7,0.0,Low
Jackson County,GA,Georgia,7.91,37.0,35.0,4,4,1,21231.0,42.199999999999996,1.0,Medium
Jackson County,IN,Indiana,8.15,38.0,33.0,3,6,10,12516.0,53.0,1.0,Medium
Jackson County,KY,Kentucky,8.58,39.0,22.0,9,1,4,4275.0,36.6,1.0,Medium
Jackson County,MI,Michigan,8.34,40.0,24.0,8,6,1,44625.0,52.400000000000006,1.0,Medium
Jackson County,MN,Minnesota,9.99,38.0,6.0,4,8,3,2142.0,50.9,1.0,Medium
Jackson County,MO,Missouri,7.75,39.0,39.0,3,9,8,208774.0,56.99999999999999,4.0,Unknown
Jackson County,MS,Mississippi,8.99,38.0,15.0,9,6,5,36919.0,47.699999999999996,2.0,High
Jackson County,NC,North Carolina,8.07,39.0,34.0,4,3,9,9305.0,53.300000000000004,1.0,Medium
Jackson County,OH,Ohio,8.96,39.0,16.0,7,1,6,8915.0,47.199999999999996,1.0,Medium
Jackson County,OK,Oklahoma,7.13,37.0,44.0,8,3,1,6558.0,53.800000000000004,0.0,Low
Jackson County,OR,Oregon,8.29,39.0,27.0,10,3,2,42780.0,58.099999999999994,1.0,Medium
Jackson County,TN,Tennessee,5.74,39.0,49.0,10,1,1,3204.0,34.8,1.0,Medium
Jackson County,TX,Texas,8.19,35.0,30.0,7,9,2,3177.0,45.1,1.0,Medium
Jackson County,WI,Wisconsin,8.89,40.0,17.0,2,8,6,5658.0,50.0,2.0,High
Jasper County,GA,Georgia,7.91,37.0,35.0,4,9,7,3126.0,34.8,1.0,Medium
Jasper County,IA,Iowa,9.26,38.0,13.0,3,5,5,8644.0,58.5,1.0,Medium
Jasper County,MS,Mississippi,8.99,38.0,15.0,5,4,5,4883.0,50.6,2.0,High
Jasper County,SC,South Carolina,7.45,39.0,40.0,6,9,2,5889.0,37.3,0.0,Low
Jasper County,TX,Texas,8.19,35.0,30.0,1,9,4,6081.0,36.199999999999996,1.0,Medium
Jeff Davis County,GA,Georgia,7.91,37.0,35.0,10,9,4,3923.0,31.0,1.0,Medium
Jefferson County,AL,Alabama,7.45,39.0,40.0,8,9,1,184654.0,57.99999999999999,1.0,Medium
Jefferson County,AR,Arkansas,8.8,38.0,20.0,3,10,9,18588.0,44.5,1.0,Medium
Jefferson County,CO,Colorado,8.31,37.0,26.0,10,7,8,123718.0,77.4,3.0,Critical
Jefferson County,FL,Florida,6.97,42.0,45.0,1,5,2,3934.0,59.599999999999994,1.0,Medium
Jefferson County,GA,Georgia,7.91,37.0,35.0,4,5,4,3658.0,54.1,1.0,Medium
Jefferson County,IN,Indiana,8.15,38.0,33.0,2,2,8,9341.0,55.800000000000004,0.0,Low
Jefferson County,KY,Kentucky,8.58,39.0,22.0,10,3,10,228911.0,63.800000000000004,2.0,High
Jefferson County,MO,Missouri,7.75,39.0,39.0,7,8,2,53990.0,44.7,4.0,Unknown
Jefferson County,MS,Mississippi,8.99,38.0,15.0,1,4,2,1479.0,71.0,2.0,High
Jefferson County,NE,Nebraska,9.01,37.0,14.0,3,3,10,1210.0,55.400000000000006,0.0,Low
Jefferson County,NY,New York,12.79,39.0,1.0,7,4,7,20300.0,73.5,2.0,High
Jefferson County,OH,Ohio,8.96,39.0,16.0,1,5,10,14710.0,50.2,1.0,Medium
Jefferson County,OK,Oklahoma,7.13,37.0,44.0,10,3,4,1301.0,42.0,2.0,High
Jefferson County,OR,Oregon,8.29,39.0,27.0,6,3,2,7233.0,63.2,1.0,Medium
Jefferson County,TN,Tennessee,5.74,39.0,49.0,8,10,10,15716.0,50.1,0.0,Low
Jefferson County,TX,Texas,8.19,35.0,30.0,1,10,6,47161.0,51.0,2.0,High
Jefferson County,WA,Washington,8.34,38.0,24.0,9,9,7,2992.0,76.6,2.0,High
Jefferson County,WI,Wisconsin,8.89,40.0,17.0,1,4,6,21520.0,57.49999999999999,1.0,Medium
Jefferson County,WV,West Virginia,8.84,43.0,18.0,7,7,5,14225.0,63.2,1.0,Medium
Jefferson Davis County,MS,Mississippi,8.99,38.0,15.0,5,6,9,2853.0,45.1,0.0,Low
Jefferson Parish,LA,Louisiana,8.82,37.0,19.0,8,7,7,113713.0,65.3,2.0,High
Jenkins County,GA,Georgia,7.91,37.0,35.0,3,8,7,1500.0,37.8,0.0,Low
Jennings County,IN,Indiana,8.15,38.0,33.0,3,1,8,6935.0,40.5,0.0,Low
Jerome County,ID,Idaho,7.88,36.0,36.0,5,7,6,6071.0,46.0,1.0,Medium
Jersey County,IL,Illinois,9.52,38.0,9.0,9,9,3,6231.0,55.900000000000006,1.0,Medium
Jessamine County,KY,Kentucky,8.58,39.0,22.0,1,7,8,15134.0,53.7,1.0,Medium
Jim Wells County,TX,Texas,8.19,35.0,30.0,5,4,8,11257.0,53.900000000000006,1.0,Medium
Jo Daviess County,IL,Illinois,9.52,38.0,9.0,10,7,8,4033.0,77.8,1.0,Medium
Johnson County,AR,Arkansas,8.8,38.0,20.0,8,9,5,6810.0,49.1,1.0,Medium
Johnson County,GA,Georgia,7.91,37.0,35.0,1,2,5,2255.0,35.3,0.0,Low
